id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,93,36,20,52,472,ship,baseline,monotonic-signal
g002,lineage depth,112,27,36,45,493,ship,edge,drag-penalty
g003,partition skew,37,25,24,55,235,ship,recovery,confidence-floor
g004,quality gap,91,26,41,98,504,ship,negative,lane-boundary
g005,schema drift,34,64,30,81,302,ship,baseline,monotonic-signal
g006,lineage depth,53,51,26,77,365,ship,edge,drag-penalty
g007,partition skew,110,12,4,80,604,ship,recovery,confidence-floor
g008,quality gap,98,30,37,43,434,ship,negative,lane-boundary
g009,schema drift,95,76,34,72,532,ship,baseline,monotonic-signal
g010,lineage depth,53,67,13,48,349,ship,edge,drag-penalty
g011,partition skew,80,30,25,83,466,ship,recovery,confidence-floor
g012,quality gap,53,14,11,105,414,ship,negative,lane-boundary
g013,schema drift,43,8,19,78,298,ship,baseline,monotonic-signal
g014,lineage depth,41,43,32,69,281,ship,edge,drag-penalty
g015,partition skew,44,28,19,69,304,ship,recovery,confidence-floor
g016,quality gap,49,23,35,73,295,ship,negative,lane-boundary
g017,schema drift,55,23,24,80,355,ship,baseline,monotonic-signal
g018,lineage depth,61,25,41,45,277,ship,edge,drag-penalty
g019,partition skew,68,64,30,75,426,ship,recovery,confidence-floor
g020,quality gap,31,16,26,51,190,ship,negative,lane-boundary
g021,schema drift,60,29,25,44,307,ship,baseline,monotonic-signal
g022,lineage depth,34,73,5,54,307,ship,edge,drag-penalty
g023,partition skew,68,63,18,97,493,ship,recovery,confidence-floor
g024,quality gap,45,60,5,80,390,ship,negative,lane-boundary
g025,schema drift,81,51,21,76,485,ship,baseline,monotonic-signal
g026,lineage depth,58,24,9,79,396,ship,edge,drag-penalty
g027,partition skew,50,13,26,42,245,ship,recovery,confidence-floor
g028,quality gap,50,45,15,71,357,ship,negative,lane-boundary
g029,schema drift,53,64,11,47,348,ship,baseline,monotonic-signal
g030,lineage depth,102,41,31,82,551,ship,edge,drag-penalty
g031,partition skew,86,32,22,104,540,ship,recovery,confidence-floor
g032,quality gap,46,30,19,77,330,ship,negative,lane-boundary
g033,schema drift,65,31,40,68,347,ship,baseline,monotonic-signal
g034,lineage depth,78,69,10,68,497,ship,edge,drag-penalty
g035,partition skew,44,56,38,72,300,ship,recovery,confidence-floor
